,South,North,East,West,Pickup,Dropoff
"(4, 0) G->B",2.914,4.349,4.349,2.914,5.943,-4.651
"(4, 0) Y->R",-2.374,-3.137,-3.137,-2.374,-12.137,-12.137
"(4, 0) Y->G",-4.997,-5.497,-5.497,-4.997,-14.497,-14.497
"(4, 0) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0) Y->B",-4.441,-4.997,-4.997,-4.441,-13.997,-13.997
"(4, 0) B->R",-2.374,-3.137,-3.137,-2.374,-12.137,-12.137
"(4, 0) B->G",-0.586,-1.527,-1.527,-0.586,-10.527,-10.527
"(4, 0) B->Y",-2.374,-3.137,-3.137,-2.374,-12.137,-12.137
"(4, 0) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0) T->R",2.914,1.623,1.623,2.914,-7.377,0.46
"(4, 0) T->G",14.3,17.0,17.0,14.3,8.0,20.0
"(4, 0) T->Y",2.914,1.623,1.623,2.914,-7.377,0.46
"(4, 0) T->B",7.715,5.943,5.943,7.715,-3.057,4.349
"(0, 1) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1) R->G",-1.527,0.46,-1.527,-0.586,-9.586,-9.586
"(0, 1) R->Y",2.914,5.943,2.914,4.349,-4.651,-4.651
"(0, 1) R->B",-0.586,1.623,-0.586,0.46,-8.54,-8.54
"(0, 1) G->R",-4.441,-5.497,-4.441,-4.997,-13.997,-13.997
"(0, 1) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1) G->Y",-4.441,-5.497,-4.441,-4.997,-13.997,-13.997
"(0, 1) G->B",-2.374,-3.823,-2.374,-3.137,-12.137,-12.137
"(0, 1) Y->R",2.914,0.46,0.46,1.623,-7.377,-7.377
"(0, 1) Y->G",-1.527,-3.137,-3.137,-2.374,-11.374,-11.374
"(0, 1) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1) Y->B",-0.586,-2.374,-2.374,-1.527,-10.527,-10.527
"(0, 1) B->R",-3.137,-4.441,-3.137,-3.823,-12.823,-12.823
"(0, 1) B->G",-1.527,-3.137,-1.527,-2.374,-11.374,-11.374
"(0, 1) B->Y",-3.137,-4.441,-3.137,-3.823,-12.823,-12.823
"(0, 1) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1) T->R",11.87,17.0,11.87,14.3,5.3,5.3
"(0, 1) T->G",4.349,1.623,4.349,2.914,-6.086,-6.086
"(0, 1) T->Y",11.87,7.715,7.715,9.683,0.683,0.683
"(0, 1) T->B",5.943,2.914,5.943,4.349,-4.651,-4.651
"(1, 1) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1) R->G",-2.374,-0.586,-1.527,-0.586,-10.527,-10.527
"(1, 1) R->Y",1.623,4.349,2.914,4.349,-6.086,-6.086
"(1, 1) R->B",-1.527,0.46,-0.586,0.46,-9.586,-9.586
"(1, 1) G->R",-3.823,-4.997,-4.441,-4.997,-13.441,-13.441
"(1, 1) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1) G->Y",-3.823,-4.997,-4.441,-4.997,-13.441,-13.441
"(1, 1) G->B",-1.527,-3.137,-2.374,-3.137,-11.374,-11.374
"(1, 1) Y->R",1.623,-0.586,0.46,1.623,-8.54,-8.54
"(1, 1) Y->G",-2.374,-3.823,-3.137,-2.374,-12.137,-12.137
"(1, 1) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1) Y->B",-1.527,-3.137,-2.374,-1.527,-11.374,-11.374
"(1, 1) B->R",-2.374,-3.823,-3.137,-3.823,-12.137,-12.137
"(1, 1) B->G",-0.586,-2.374,-1.527,-2.374,-10.527,-10.527
"(1, 1) B->Y",-2.374,-3.823,-3.137,-3.823,-12.137,-12.137
"(1, 1) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1) T->R",9.683,14.3,11.87,14.3,2.87,2.87
"(1, 1) T->G",5.943,2.914,4.349,2.914,-4.651,-4.651
"(1, 1) T->Y",9.683,5.943,7.715,9.683,-1.285,-1.285
"(1, 1) T->B",7.715,4.349,5.943,4.349,-3.057,-3.057
"(2, 1) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1) R->G",-3.137,-4.441,-4.441,-3.823,-12.823,-12.823
"(2, 1) R->Y",0.46,-1.527,-1.527,-0.586,-9.586,-9.586
"(2, 1) R->B",-2.374,-3.823,-3.823,-3.137,-12.137,-12.137
"(2, 1) G->R",-3.137,-1.527,-1.527,-2.374,-11.374,-11.374
"(2, 1) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1) G->Y",-3.137,-1.527,-1.527,-2.374,-11.374,-11.374
"(2, 1) G->B",-0.586,1.623,1.623,0.46,-8.54,-8.54
"(2, 1) Y->R",0.46,-1.527,-1.527,-0.586,-9.586,-9.586
"(2, 1) Y->G",-3.137,-4.441,-4.441,-3.823,-12.823,-12.823
"(2, 1) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1) Y->B",-2.374,-3.823,-3.823,-3.137,-12.137,-12.137
"(2, 1) B->R",-1.527,-3.137,-1.527,-2.374,-11.374,-11.374
"(2, 1) B->G",0.46,-1.527,0.46,-0.586,-9.586,-9.586
"(2, 1) B->Y",-1.527,-3.137,-1.527,-2.374,-11.374,-11.374
"(2, 1) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1) T->R",7.715,4.349,4.349,5.943,-3.057,-3.057
"(2, 1) T->G",7.715,11.87,11.87,9.683,0.683,0.683
"(2, 1) T->Y",7.715,4.349,4.349,5.943,-3.057,-3.057
"(2, 1) T->B",9.683,5.943,9.683,7.715,-1.285,-1.285
"(3, 1) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1) R->G",-3.823,-4.997,-4.997,-3.823,-13.441,-13.441
"(3, 1) R->Y",-0.586,-2.374,-2.374,-0.586,-10.527,-10.527
"(3, 1) R->B",-3.137,-4.441,-4.441,-3.137,-12.823,-12.823
"(3, 1) G->R",-2.374,-0.586,-0.586,-2.374,-10.527,-10.527
"(3, 1) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1) G->Y",-2.374,-0.586,-0.586,-2.374,-10.527,-10.527
"(3, 1) G->B",0.46,2.914,2.914,0.46,-7.377,-7.377
"(3, 1) Y->R",-0.586,-2.374,-2.374,-0.586,-10.527,-10.527
"(3, 1) Y->G",-3.823,-4.997,-4.997,-3.823,-13.441,-13.441
"(3, 1) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1) Y->B",-3.137,-4.441,-4.441,-3.137,-12.823,-12.823
"(3, 1) B->R",-0.586,-2.374,-2.374,-2.374,-10.527,-10.527
"(3, 1) B->G",1.623,-0.586,-0.586,-0.586,-8.54,-8.54
"(3, 1) B->Y",-0.586,-2.374,-2.374,-2.374,-10.527,-10.527
"(3, 1) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1) T->R",5.943,2.914,2.914,5.943,-4.651,-4.651
"(3, 1) T->G",9.683,14.3,14.3,9.683,2.87,2.87
"(3, 1) T->Y",5.943,2.914,2.914,5.943,-4.651,-4.651
"(3, 1) T->B",11.87,7.715,7.715,7.715,0.683,0.683
"(4, 1) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1) R->G",-4.441,-5.497,-4.997,-4.441,-13.997,-13.997
"(4, 1) R->Y",-1.527,-3.137,-2.374,-1.527,-11.374,-11.374
"(4, 1) R->B",-3.823,-4.997,-4.441,-3.823,-13.441,-13.441
"(4, 1) G->R",-1.527,0.46,-0.586,-1.527,-9.586,-9.586
"(4, 1) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1) G->Y",-1.527,0.46,-0.586,-1.527,-9.586,-9.586
"(4, 1) G->B",1.623,4.349,2.914,1.623,-6.086,-6.086
"(4, 1) Y->R",-1.527,-3.137,-2.374,-1.527,-11.374,-11.374
"(4, 1) Y->G",-4.441,-5.497,-4.997,-4.441,-13.997,-13.997
"(4, 1) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1) Y->B",-3.823,-4.997,-4.441,-3.823,-13.441,-13.441
"(4, 1) B->R",-1.527,-3.137,-2.374,-1.527,-11.374,-11.374
"(4, 1) B->G",0.46,-1.527,-0.586,0.46,-9.586,-9.586
"(4, 1) B->Y",-1.527,-3.137,-2.374,-1.527,-11.374,-11.374
"(4, 1) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1) T->R",4.349,1.623,2.914,4.349,-6.086,-6.086
"(4, 1) T->G",11.87,17.0,14.3,11.87,5.3,5.3
"(4, 1) T->Y",4.349,1.623,2.914,4.349,-6.086,-6.086
"(4, 1) T->B",9.683,5.943,7.715,9.683,-1.285,-1.285
"(0, 2) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2) R->G",-2.374,-0.586,-2.374,-1.527,-10.527,-10.527
"(0, 2) R->Y",1.623,4.349,1.623,2.914,-6.086,-6.086
"(0, 2) R->B",-1.527,0.46,-1.527,-0.586,-9.586,-9.586
"(0, 2) G->R",-4.997,-4.997,-3.823,-4.441,-13.441,-13.441
"(0, 2) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2) G->Y",-4.997,-4.997,-3.823,-4.441,-13.441,-13.441
"(0, 2) G->B",-3.137,-3.137,-1.527,-2.374,-11.374,-11.374
"(0, 2) Y->R",4.349,1.623,1.623,2.914,-6.086,-6.086
"(0, 2) Y->G",-0.586,-2.374,-2.374,-1.527,-10.527,-10.527
"(0, 2) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2) Y->B",0.46,-1.527,-1.527,-0.586,-9.586,-9.586
"(0, 2) B->R",-3.823,-3.823,-2.374,-3.137,-12.137,-12.137
"(0, 2) B->G",-2.374,-2.374,-0.586,-1.527,-10.527,-10.527
"(0, 2) B->Y",-3.823,-3.823,-2.374,-3.137,-12.137,-12.137
"(0, 2) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2) T->R",9.683,14.3,9.683,11.87,2.87,2.87
"(0, 2) T->G",2.914,2.914,5.943,4.349,-4.651,-4.651
"(0, 2) T->Y",14.3,9.683,9.683,11.87,2.87,2.87
"(0, 2) T->B",4.349,4.349,7.715,5.943,-3.057,-3.057
"(1, 2) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2) R->G",-3.137,-1.527,-3.137,-1.527,-11.374,-11.374
"(1, 2) R->Y",0.46,2.914,0.46,2.914,-7.377,-7.377
"(1, 2) R->B",-2.374,-0.586,-2.374,-0.586,-10.527,-10.527
"(1, 2) G->R",-4.441,-4.441,-3.137,-4.441,-12.823,-12.823
"(1, 2) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2) G->Y",-4.441,-4.441,-3.137,-4.441,-12.823,-12.823
"(1, 2) G->B",-2.374,-2.374,-0.586,-2.374,-10.527,-10.527
"(1, 2) Y->R",0.46,0.46,0.46,2.914,-7.377,-7.377
"(1, 2) Y->G",-3.137,-3.137,-3.137,-1.527,-11.374,-11.374
"(1, 2) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2) Y->B",-2.374,-2.374,-2.374,-0.586,-10.527,-10.527
"(1, 2) B->R",-3.137,-3.137,-1.527,-3.137,-11.374,-11.374
"(1, 2) B->G",-1.527,-1.527,0.46,-1.527,-9.586,-9.586
"(1, 2) B->Y",-3.137,-3.137,-1.527,-3.137,-11.374,-11.374
"(1, 2) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2) T->R",7.715,11.87,7.715,11.87,0.683,0.683
"(1, 2) T->G",4.349,4.349,7.715,4.349,-3.057,-3.057
"(1, 2) T->Y",7.715,7.715,7.715,11.87,0.683,0.683
"(1, 2) T->B",5.943,5.943,9.683,5.943,-1.285,-1.285
"(2, 2) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2) R->G",-3.823,-3.823,-3.823,-2.374,-12.137,-12.137
"(2, 2) R->Y",-0.586,-0.586,-0.586,1.623,-8.54,-8.54
"(2, 2) R->B",-3.137,-3.137,-3.137,-1.527,-11.374,-11.374
"(2, 2) G->R",-3.823,-2.374,-2.374,-3.823,-12.137,-12.137
"(2, 2) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2) G->Y",-3.823,-2.374,-2.374,-3.823,-12.137,-12.137
"(2, 2) G->B",-1.527,0.46,0.46,-1.527,-9.586,-9.586
"(2, 2) Y->R",-0.586,-0.586,-0.586,1.623,-8.54,-8.54
"(2, 2) Y->G",-3.823,-3.823,-3.823,-2.374,-12.137,-12.137
"(2, 2) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2) Y->B",-3.137,-3.137,-3.137,-1.527,-11.374,-11.374
"(2, 2) B->R",-2.374,-2.374,-0.586,-2.374,-10.527,-10.527
"(2, 2) B->G",-0.586,-0.586,1.623,-0.586,-8.54,-8.54
"(2, 2) B->Y",-2.374,-2.374,-0.586,-2.374,-10.527,-10.527
"(2, 2) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2) T->R",5.943,5.943,5.943,9.683,-1.285,-1.285
"(2, 2) T->G",5.943,9.683,9.683,5.943,-1.285,-1.285
"(2, 2) T->Y",5.943,5.943,5.943,9.683,-1.285,-1.285
"(2, 2) T->B",7.715,7.715,11.87,7.715,0.683,0.683
"(3, 2) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2) R->G",-4.441,-4.441,-4.441,-3.137,-12.823,-12.823
"(3, 2) R->Y",-1.527,-1.527,-1.527,0.46,-9.586,-9.586
"(3, 2) R->B",-3.823,-3.823,-3.823,-2.374,-12.137,-12.137
"(3, 2) G->R",-3.137,-1.527,-1.527,-3.137,-11.374,-11.374
"(3, 2) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2) G->Y",-3.137,-1.527,-1.527,-3.137,-11.374,-11.374
"(3, 2) G->B",-0.586,1.623,1.623,-0.586,-8.54,-8.54
"(3, 2) Y->R",-1.527,-1.527,-1.527,0.46,-9.586,-9.586
"(3, 2) Y->G",-4.441,-4.441,-4.441,-3.137,-12.823,-12.823
"(3, 2) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2) Y->B",-3.823,-3.823,-3.823,-2.374,-12.137,-12.137
"(3, 2) B->R",0.46,-1.527,-1.527,-1.527,-9.586,-9.586
"(3, 2) B->G",2.914,0.46,0.46,0.46,-7.377,-7.377
"(3, 2) B->Y",0.46,-1.527,-1.527,-1.527,-9.586,-9.586
"(3, 2) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2) T->R",4.349,4.349,4.349,7.715,-3.057,-3.057
"(3, 2) T->G",7.715,11.87,11.87,7.715,0.683,0.683
"(3, 2) T->Y",4.349,4.349,4.349,7.715,-3.057,-3.057
"(3, 2) T->B",14.3,9.683,9.683,9.683,2.87,2.87
"(4, 2) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2) R->G",-4.997,-4.997,-4.441,-3.823,-13.441,-13.441
"(4, 2) R->Y",-2.374,-2.374,-1.527,-0.586,-10.527,-10.527
"(4, 2) R->B",-4.441,-4.441,-3.823,-3.137,-12.823,-12.823
"(4, 2) G->R",-2.374,-0.586,-1.527,-2.374,-10.527,-10.527
"(4, 2) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2) G->Y",-2.374,-0.586,-1.527,-2.374,-10.527,-10.527
"(4, 2) G->B",0.46,2.914,1.623,0.46,-7.377,-7.377
"(4, 2) Y->R",-2.374,-2.374,-1.527,-0.586,-10.527,-10.527
"(4, 2) Y->G",-4.997,-4.997,-4.441,-3.823,-13.441,-13.441
"(4, 2) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2) Y->B",-4.441,-4.441,-3.823,-3.137,-12.823,-12.823
"(4, 2) B->R",-0.586,-2.374,-1.527,-0.586,-10.527,-10.527
"(4, 2) B->G",1.623,-0.586,0.46,1.623,-8.54,-8.54
"(4, 2) B->Y",-0.586,-2.374,-1.527,-0.586,-10.527,-10.527
"(4, 2) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2) T->R",2.914,2.914,4.349,5.943,-4.651,-4.651
"(4, 2) T->G",9.683,14.3,11.87,9.683,2.87,2.87
"(4, 2) T->Y",2.914,2.914,4.349,5.943,-4.651,-4.651
"(4, 2) T->B",11.87,7.715,9.683,11.87,0.683,0.683
"(0, 3) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3) R->G",-3.137,-1.527,-2.374,-2.374,-11.374,-11.374
"(0, 3) R->Y",0.46,2.914,1.623,1.623,-7.377,-7.377
"(0, 3) R->B",-2.374,-0.586,-1.527,-1.527,-10.527,-10.527
"(0, 3) G->R",-5.497,-4.441,-4.997,-4.997,-13.997,-13.997
"(0, 3) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3) G->Y",-5.497,-4.441,-4.997,-4.997,-13.997,-13.997
"(0, 3) G->B",-3.823,-2.374,-3.137,-3.137,-12.137,-12.137
"(0, 3) Y->R",5.943,2.914,4.349,4.349,-4.651,-4.651
"(0, 3) Y->G",0.46,-1.527,-0.586,-0.586,-9.586,-9.586
"(0, 3) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3) Y->B",1.623,-0.586,0.46,0.46,-8.54,-8.54
"(0, 3) B->R",-4.441,-3.137,-3.823,-3.823,-12.823,-12.823
"(0, 3) B->G",-3.137,-1.527,-2.374,-2.374,-11.374,-11.374
"(0, 3) B->Y",-4.441,-3.137,-3.823,-3.823,-12.823,-12.823
"(0, 3) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3) T->R",7.715,11.87,9.683,9.683,0.683,0.683
"(0, 3) T->G",1.623,4.349,2.914,2.914,-6.086,-6.086
"(0, 3) T->Y",17.0,11.87,14.3,14.3,5.3,5.3
"(0, 3) T->B",2.914,5.943,4.349,4.349,-4.651,-4.651
"(1, 3) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3) R->G",-3.823,-2.374,-3.823,-3.137,-12.137,-12.137
"(1, 3) R->Y",-0.586,1.623,-0.586,0.46,-8.54,-8.54
"(1, 3) R->B",-3.137,-1.527,-3.137,-2.374,-11.374,-11.374
"(1, 3) G->R",-4.997,-3.823,-3.823,-4.441,-13.441,-13.441
"(1, 3) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3) G->Y",-4.997,-3.823,-3.823,-4.441,-13.441,-13.441
"(1, 3) G->B",-3.137,-1.527,-1.527,-2.374,-11.374,-11.374
"(1, 3) Y->R",-0.586,1.623,-0.586,0.46,-8.54,-8.54
"(1, 3) Y->G",-3.823,-2.374,-3.823,-3.137,-12.137,-12.137
"(1, 3) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3) Y->B",-3.137,-1.527,-3.137,-2.374,-11.374,-11.374
"(1, 3) B->R",-3.823,-2.374,-2.374,-3.137,-12.137,-12.137
"(1, 3) B->G",-2.374,-0.586,-0.586,-1.527,-10.527,-10.527
"(1, 3) B->Y",-3.823,-2.374,-2.374,-3.137,-12.137,-12.137
"(1, 3) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3) T->R",5.943,9.683,5.943,7.715,-1.285,-1.285
"(1, 3) T->G",2.914,5.943,5.943,4.349,-4.651,-4.651
"(1, 3) T->Y",5.943,9.683,5.943,7.715,-1.285,-1.285
"(1, 3) T->B",4.349,7.715,7.715,5.943,-3.057,-3.057
"(2, 3) R->R",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3) R->G",-4.441,-3.137,-3.823,-3.137,-12.823,-12.823
"(2, 3) R->Y",-1.527,0.46,-0.586,0.46,-9.586,-9.586
"(2, 3) R->B",-3.823,-2.374,-3.137,-2.374,-12.137,-12.137
"(2, 3) G->R",-4.441,-3.137,-3.823,-4.441,-12.823,-12.823
"(2, 3) G->G",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3) G->Y",-4.441,-3.137,-3.823,-4.441,-12.823,-12.823
"(2, 3) G->B",-2.374,-0.586,-1.527,-2.374,-10.527,-10.527
"(2, 3) Y->R",-1.527,0.46,-0.586,0.46,-9.586,-9.586
"(2, 3) Y->G",-4.441,-3.137,-3.823,-3.137,-12.823,-12.823
"(2, 3) Y->Y",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3) Y->B",-3.823,-2.374,-3.137,-2.374,-12.137,-12.137
"(2, 3) B->R",-3.137,-1.527,-2.374,-3.137,-11.374,-11.374
"(2, 3) B->G",-1.527,0.46,-0.586,-1.527,-9.586,-9.586
"(2, 3) B->Y",-3.137,-1.527,-2.374,-3.137,-11.374,-11.374
"(2, 3) B->B",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3) T->R",4.349,7.715,5.943,7.715,-3.057,-3.057
"(2, 3) T->G",4.349,7.715,5.943,4.349,-3.057,-3.057
